,title,artist,year,views,url
50,Its the End of the World as We Know It And I Feel Fine,R.E.M.,1987,288981,https://genius.com/REM-Its-the-End-of-the-World-as-We-Know-It-And-I-Feel-Fine-lyrics
51,Hardknock,Joey Bada$$,2012,476673,https://genius.com/Joey-Bada-Hardknock-lyrics
52,Dust in the Wind,Kansas,1977,215758,https://genius.com/Kansas-Dust-in-the-Wind-lyrics
53,Go Off,"Lil Uzi Vert, Quavo & Travis Scott",2017,378224,https://genius.com/Lil-Uzi-Vert-Quavo-Travis-Scott-Go-Off-lyrics
54,Again,Fetty Wap,2015,1075045,https://genius.com/Fetty-Wap-Again-lyrics
55,Disingenuous,Flight,2020,204967,https://genius.com/Flight-Disingenuous-lyrics
56,Sleepwalking,Bring Me The Horizon,2013,211366,https://genius.com/Bring-Me-The-Horizon-Sleepwalking-lyrics
57,Fallingforyou,The 1975,2013,388916,https://genius.com/The-1975-Fallingforyou-lyrics
58,Mercury: Retrograde,Ghostemane,2017,946107,https://genius.com/Ghostemane-Mercury-Retrograde-lyrics
59,Theres No Way,Lauv,2018,279830,https://genius.com/Lauv-Theres-No-Way-lyrics
60,Heartless,Kanye West,2008,1175109,https://genius.com/Kanye-West-Heartless-lyrics
61,One Minute,XXXTENTACION,2018,453306,https://genius.com/XXXTENTACION-One-Minute-lyrics
62,All In,YoungBoy Never Broke Again,2020,236621,https://genius.com/YoungBoy-Never-Broke-Again-All-In-lyrics
63,Senile,Young Money,2014,492207,https://genius.com/Young-Money-Senile-lyrics
64,Nail in the Coffin,Eminem,2002,323391,https://genius.com/Eminem-Nail-in-the-Coffin-lyrics
65,Wildflower Wildfire,Lana Del Rey,2021,190676,https://genius.com/Lana-Del-Rey-Wildflower-Wildfire-lyrics
66,Dang,Mac Miller,2016,550996,https://genius.com/Mac-Miller-Dang-lyrics
67,Heart of Gold,Neil Young,1971,399829,https://genius.com/Neil-Young-Heart-of-Gold-lyrics
68,Therapy,Khalid,2017,338516,https://genius.com/Khalid-Therapy-lyrics
69,Woah,Lil Baby,2019,638221,https://genius.com/Lil-Baby-Woah-lyrics
70,Welcome to Forever,Logic,2013,208816,https://genius.com/Logic-Welcome-to-Forever-lyrics
71,Freestyle,Lil Baby,2017,1288836,https://genius.com/Lil-Baby-Freestyle-lyrics
72,Love to Lay,The Weeknd,2016,321079,https://genius.com/The-Weeknd-Love-to-Lay-lyrics
73,Rock the Casbah,The Clash,1982,330794,https://genius.com/The-Clash-Rock-the-Casbah-lyrics
74,Asian Jake Paul,iDubbbz,2017,539567,https://genius.com/iDubbbz-Asian-Jake-Paul-lyrics
75,Something in the Way,Nirvana,1991,523593,https://genius.com/Nirvana-Something-in-the-Way-lyrics
76,Say It,Tory Lanez,2015,1277123,https://genius.com/Tory-Lanez-Say-It-lyrics
77,Tip Toe Wing in My Jawwdinz,RiFF RAFF,2014,303863,https://genius.com/RiFF-RAFF-Tip-Toe-Wing-in-My-Jawwdinz-lyrics
78,2Face,J. Cole,2010,193351,https://genius.com/J-Cole-2Face-lyrics
79,Cardigan,Don Toliver,2020,214516,https://genius.com/Don-Toliver-Cardigan-lyrics
80,Autumn Leaves,Chris Brown,2014,944043,https://genius.com/Chris-Brown-Autumn-Leaves-lyrics
81,Fall Thru,Meek Mill,2017,271549,https://genius.com/Meek-Mill-Fall-Thru-lyrics
82,Act Right,Yo Gotti,2013,281121,https://genius.com/Yo-Gotti-Act-Right-lyrics
83,Horses,"PnB Rock, Kodak Black & A Boogie wit da Hoodie",2017,383570,https://genius.com/PnB-Rock-Kodak-Black-A-Boogie-wit-da-Hoodie-Horses-lyrics
84,50 Best Rap Songs of 2015,50 Best Rap Songs of 2015 Lyrics - Genius,2015,305114,https://genius.com/50-Best-Rap-Songs-of-2015-Lyrics-Genius-50-Best-Rap-Songs-of-2015-lyrics
85,Gangsta,Kat Dahlia,2013,264976,https://genius.com/Kat-Dahlia-Gangsta-lyrics
86,How’s It Goin’ Down Album Version,DMX,1998,286915,https://genius.com/DMX-How’s-It-Goin’-Down-Album-Version-lyrics
87,GINGER,BROCKHAMPTON,2019,224417,https://genius.com/BROCKHAMPTON-GINGER-lyrics
88,Transform,Daniel Caesar,2017,187968,https://genius.com/Daniel-Caesar-Transform-lyrics
89,Hard 2 Face Reality,Poo Bear,2018,292737,https://genius.com/Poo-Bear-Hard-2-Face-Reality-lyrics
90,Who Run It/Bring It Back/Look Alive Megamix,Finny Music,2018,245990,https://genius.com/Finny-Music-Who-Run-ItBring-It-BackLook-Alive-Megamix-lyrics
91,Vincent Starry Starry Night,Don McLean,1971,218249,https://genius.com/Don-McLean-Vincent-Starry-Starry-Night-lyrics
92,Immortal,Kid Cudi,2013,345788,https://genius.com/Kid-Cudi-Immortal-lyrics
93,BTS - Crystal Snow English Translation,Genius English Translations,2017,213225,https://genius.com/Genius-English-Translations-BTS-Crystal-Snow-English-Translation-lyrics
94,Always Be My Baby,Mariah Carey,1995,212406,https://genius.com/Mariah-Carey-Always-Be-My-Baby-lyrics
95,Single Ladies Put a Ring on It,Beyonc,2008,307242,https://genius.com/Beyonc-Single-Ladies-Put-a-Ring-on-It-lyrics
96,All Falls Down,Kanye West,2004,1434979,https://genius.com/Kanye-West-All-Falls-Down-lyrics
97,4th Dimension,KIDS SEE GHOSTS,2018,658814,https://genius.com/KIDS-SEE-GHOSTS-4th-Dimension-lyrics
98,Tia Tamera,Doja Cat,2019,663648,https://genius.com/Doja-Cat-Tia-Tamera-lyrics
99,You Will Be Found,"Ben Platt, Kristolyn Lloyd, Will Rolland, Laura Dreyfuss & Original Broadway Cast of Dear Evan Hansen",2017,669309,https://genius.com/Ben-Platt-Kristolyn-Lloyd-Will-Rolland-Laura-Dreyfuss-Original-Broadway-Cast-of-Dear-Evan-Hansen-You-Will-Be-Found-lyrics
100,Boredom,"Tyler, The Creator",2017,714759,https://genius.com/Tyler-The-Creator-Boredom-lyrics
101,Keisha  Becky Remix,Russ Millions & Tion Wayne,2019,963033,https://genius.com/Russ-Millions-Tion-Wayne-Keisha-Becky-Remix-lyrics
102,Power,Young Thug,2015,1025441,https://genius.com/Young-Thug-Power-lyrics
103,The End,The Doors,1967,952635,https://genius.com/The-Doors-The-End-lyrics
104,Dont Matter to Me,Drake & Michael Jackson,2018,960766,https://genius.com/Drake-Michael-Jackson-Dont-Matter-to-Me-lyrics
105,NASA,Ariana Grande,2019,1032850,https://genius.com/Ariana-Grande-NASA-lyrics
106,You Dont Own Me,SAYGRACE,2015,1264739,https://genius.com/SAYGRACE-You-Dont-Own-Me-lyrics
107,Say A,A Boogie wit da Hoodie,2017,298471,https://genius.com/A-Boogie-wit-da-Hoodie-Say-A-lyrics
108,Unbelievers,Vampire Weekend,2013,331606,https://genius.com/Vampire-Weekend-Unbelievers-lyrics
109,Guns Blazing,Eminem,2020,222775,https://genius.com/Eminem-Guns-Blazing-lyrics
110,Little Einsteins Theme Song,Billy Straus,2005,1684132,https://genius.com/Billy-Straus-Little-Einsteins-Theme-Song-lyrics
111,What a Wonderful World,Louis Armstrong,1967,871592,https://genius.com/Louis-Armstrong-What-a-Wonderful-World-lyrics
112,Bring Me to Life,Evanescence,2003,658884,https://genius.com/Evanescence-Bring-Me-to-Life-lyrics
113,Cocky,"A$AP Rocky, Gucci Mane & 21 Savage",2018,197079,https://genius.com/AAP-Rocky-Gucci-Mane-21-Savage-Cocky-lyrics
114,Dancin KRONO Remix,Aaron Smith,2014,508954,https://genius.com/Aaron-Smith-Dancin-KRONO-Remix-lyrics
115,The Cut Off,J. Cole,2018,651219,https://genius.com/J-Cole-The-Cut-Off-lyrics
116,Sin City,"John Legend, Teyana Taylor, CyHi The Prynce & Malik Yusef",2012,231111,https://genius.com/John-Legend-Teyana-Taylor-CyHi-The-Prynce-Malik-Yusef-Sin-City-lyrics
117,Lust for Life,Lana Del Rey,2017,1096002,https://genius.com/Lana-Del-Rey-Lust-for-Life-lyrics
118,B.I.T.C.H.,Megan Thee Stallion,2020,432405,https://genius.com/Megan-Thee-Stallion-BITCH-lyrics
119,The Girls on Drugs,Wale,2015,255365,https://genius.com/Wale-The-Girls-on-Drugs-lyrics
120,Shake,IShowSpeed,2021,300403,https://genius.com/IShowSpeed-Shake-lyrics
121,Nowhere2go,Earl Sweatshirt,2018,221747,https://genius.com/Earl-Sweatshirt-Nowhere2go-lyrics
122,Hunger of the Pine,alt-J,2014,247231,https://genius.com/altJ-Hunger-of-the-Pine-lyrics
123,Under Pressure,Logic,2014,1318913,https://genius.com/Logic-Under-Pressure-lyrics
124,I See the Light,Mandy Moore & Zachary Levi,2010,430968,https://genius.com/Mandy-Moore-Zachary-Levi-I-See-the-Light-lyrics
125,Breaking News,Machine Gun Kelly,2013,346768,https://genius.com/Machine-Gun-Kelly-Breaking-News-lyrics
126,Sauce It Up,Lil Uzi Vert,2017,599679,https://genius.com/Lil-Uzi-Vert-Sauce-It-Up-lyrics
127,SM,Rihanna,2010,422124,https://genius.com/Rihanna-SM-lyrics
128,To Build a Home,The Cinematic Orchestra,2007,267742,https://genius.com/The-Cinematic-Orchestra-To-Build-a-Home-lyrics
129,​iKON - 사랑을 했다 LOVE SCENARIO English Translation,Genius English Translations,2018,298373,https://genius.com/Genius-English-Translations-​iKON-사랑을-했다-LOVE-SCENARIO-English-Translation-lyrics
130,Rammstein - Du hast English Translation,Genius English Translations,1997,701228,https://genius.com/Genius-English-Translations-Rammstein-Du-hast-English-Translation-lyrics
131,Perfectly Wrong,Shawn Mendes,2018,241797,https://genius.com/Shawn-Mendes-Perfectly-Wrong-lyrics
132,Dua Lipa  BLACKPINK - Kiss and Make Up Romanized,Genius Romanizations,2018,326344,https://genius.com/Genius-Romanizations-Dua-Lipa-BLACKPINK-Kiss-and-Make-Up-Romanized-lyrics
133,Tity and Dolla,Isaiah Rashad,2016,215460,https://genius.com/Isaiah-Rashad-Tity-and-Dolla-lyrics
134,Burn the Witch,Radiohead,2016,300995,https://genius.com/Radiohead-Burn-the-Witch-lyrics
135,Catch  Release,Matt Simons,2014,228364,https://genius.com/Matt-Simons-Catch-Release-lyrics
136,Venetia,Lil Uzi Vert,2020,223308,https://genius.com/Lil-Uzi-Vert-Venetia-lyrics
137,The Joy,JAY-Z & Kanye West,2010,276611,https://genius.com/JAYZ-Kanye-West-The-Joy-lyrics
138,Nena - 99 Luftballons English Translation,Genius English Translations,1983,211617,https://genius.com/Genius-English-Translations-Nena-99-Luftballons-English-Translation-lyrics
139,All Things Go,Nicki Minaj,2014,720342,https://genius.com/Nicki-Minaj-All-Things-Go-lyrics
140,Right Now,PARTYNEXTDOOR,2013,315692,https://genius.com/PARTYNEXTDOOR-Right-Now-lyrics
141,Swimming Pools Drank,Kendrick Lamar,2012,6204808,https://genius.com/Kendrick-Lamar-Swimming-Pools-Drank-lyrics
142,Fetch the Bolt Cutters,Fiona Apple,2020,187652,https://genius.com/Fiona-Apple-Fetch-the-Bolt-Cutters-lyrics
143,Waiting for Love,Avicii,2015,457469,https://genius.com/Avicii-Waiting-for-Love-lyrics
144,We Dem Boyz,Wiz Khalifa,2014,579977,https://genius.com/Wiz-Khalifa-We-Dem-Boyz-lyrics
145,Girl Crush,Little Big Town,2014,208626,https://genius.com/Little-Big-Town-Girl-Crush-lyrics
146,Faucet,Earl Sweatshirt,2015,288420,https://genius.com/Earl-Sweatshirt-Faucet-lyrics
147,TKO,Justin Timberlake,2013,373337,https://genius.com/Justin-Timberlake-TKO-lyrics
148,Venice Bitch,Lana Del Rey,2018,733069,https://genius.com/Lana-Del-Rey-Venice-Bitch-lyrics
149,Sunshine,$UICIDEBOY$,2015,216946,https://genius.com/UICIDEBOY-Sunshine-lyrics
150,The greatest,Lana Del Rey,2019,576506,https://genius.com/Lana-Del-Rey-The-greatest-lyrics
151,Linger,The Cranberries,1993,320530,https://genius.com/The-Cranberries-Linger-lyrics
152,...And to Those I Love Thanks for Sticking Around,$UICIDEBOY$,2020,580692,https://genius.com/UICIDEBOY-And-to-Those-I-Love-Thanks-for-Sticking-Around-lyrics
153,​bury a friend,Billie Eilish,2019,2523816,https://genius.com/Billie-Eilish-​bury-a-friend-lyrics
154,Bad Girls,M.I.A.,2010,313837,https://genius.com/MIA-Bad-Girls-lyrics
155,Better Things,A$AP Rocky,2015,325909,https://genius.com/AAP-Rocky-Better-Things-lyrics
156,A man,Travis Scott,2017,251583,https://genius.com/Travis-Scott-A-man-lyrics
157,The Beach,The Neighbourhood,2015,363253,https://genius.com/The-Neighbourhood-The-Beach-lyrics
158,Moving On,Lil Peep,2019,292659,https://genius.com/Lil-Peep-Moving-On-lyrics
159,Piggyback,Melanie Martinez,2017,272223,https://genius.com/Melanie-Martinez-Piggyback-lyrics
160,Muddy Waters,LP,2016,281552,https://genius.com/LP-Muddy-Waters-lyrics
161,Money on My Mind,Sam Smith,2014,291011,https://genius.com/Sam-Smith-Money-on-My-Mind-lyrics
162,122 Days,$UICIDEBOY$,2018,353879,https://genius.com/UICIDEBOY-122-Days-lyrics
163,Agust D - Agust D English Translation,Genius English Translations,2016,466001,https://genius.com/Genius-English-Translations-Agust-D-Agust-D-English-Translation-lyrics
164,9AM in Dallas,Drake,2010,391740,https://genius.com/Drake-9AM-in-Dallas-lyrics
165,Racks in the Middle,Nipsey Hussle,2019,336018,https://genius.com/Nipsey-Hussle-Racks-in-the-Middle-lyrics
166,Days Before Rodeo: The Prayer,Travis Scott,2014,363339,https://genius.com/Travis-Scott-Days-Before-Rodeo-The-Prayer-lyrics
167,Domo23,"Tyler, The Creator",2013,955226,https://genius.com/Tyler-The-Creator-Domo23-lyrics
168,What Am I,Why Don't We,2019,246387,https://genius.com/Why-Dont-We-What-Am-I-lyrics
169,Hannah Hunt,Vampire Weekend,2013,278299,https://genius.com/Vampire-Weekend-Hannah-Hunt-lyrics
170,Lil Top,YoungBoy Never Broke Again,2020,202971,https://genius.com/YoungBoy-Never-Broke-Again-Lil-Top-lyrics
171,Diddy Bop,Noname,2016,219954,https://genius.com/Noname-Diddy-Bop-lyrics
172,Tunnel of Love Remix,ilyTOMMY,2019,243886,https://genius.com/ilyTOMMY-Tunnel-of-Love-Remix-lyrics
173,Let Me Hold You Turn Me On,Cheat Codes & Dante Klein,2016,199175,https://genius.com/Cheat-Codes-Dante-Klein-Let-Me-Hold-You-Turn-Me-On-lyrics
174,WHATS POPPIN,Jack Harlow,2020,927960,https://genius.com/Jack-Harlow-WHATS-POPPIN-lyrics
175,Blem,Drake,2017,1301500,https://genius.com/Drake-Blem-lyrics
176,Mrs. Potato Head,Melanie Martinez,2015,462403,https://genius.com/Melanie-Martinez-Mrs-Potato-Head-lyrics
177,JUMP,DaBaby,2020,206466,https://genius.com/DaBaby-JUMP-lyrics
178,My Homies Still,Lil Wayne,2012,455187,https://genius.com/Lil-Wayne-My-Homies-Still-lyrics
179,Norman fucking Rockwell,Lana Del Rey,2019,886859,https://genius.com/Lana-Del-Rey-Norman-fucking-Rockwell-lyrics
180,Perfect Strangers,Jonas Blue,2016,1277241,https://genius.com/Jonas-Blue-Perfect-Strangers-lyrics
181,Foldin Clothes,J. Cole,2016,539904,https://genius.com/J-Cole-Foldin-Clothes-lyrics
182,Barking,Ramz,2017,1051633,https://genius.com/Ramz-Barking-lyrics
183,PTSD,G Herbo,2020,488809,https://genius.com/G-Herbo-PTSD-lyrics
184,Bohemian Rhapsody,Queen,1975,9247817,https://genius.com/Queen-Bohemian-Rhapsody-lyrics
185,No Stylist,French Montana,2018,860159,https://genius.com/French-Montana-No-Stylist-lyrics
186,Take a Break,"Phillipa Soo, Anthony Ramos, Lin-Manuel Miranda & Rene Elise Goldsberry",2015,1574127,https://genius.com/Phillipa-Soo-Anthony-Ramos-LinManuel-Miranda-Rene-Elise-Goldsberry-Take-a-Break-lyrics
187,Dancing on My Own,Calum Scott,2016,760419,https://genius.com/Calum-Scott-Dancing-on-My-Own-lyrics
188,Purple Swag,A$AP Rocky,2011,615271,https://genius.com/AAP-Rocky-Purple-Swag-lyrics
189,The Genesis,Nas,1994,224598,https://genius.com/Nas-The-Genesis-lyrics
190,Mathematics,Yasiin Bey,1999,411813,https://genius.com/Yasiin-Bey-Mathematics-lyrics
191,Hood Bitch Clapback,Fam0us.Twinsss,2020,203191,https://genius.com/Fam0usTwinsss-Hood-Bitch-Clapback-lyrics
192,FCK YOU GOODBYE,The Kid LAROI,2020,268294,https://genius.com/The-Kid-LAROI-FCK-YOU-GOODBYE-lyrics
193,Snow,XXXTENTACION,2016,380980,https://genius.com/XXXTENTACION-Snow-lyrics
194,For Life,Runtown,2017,248260,https://genius.com/Runtown-For-Life-lyrics
195,Everything Stays,Adventure Time,2015,550593,https://genius.com/Adventure-Time-Everything-Stays-lyrics
196,I Walk The Line,Johnny Cash,1956,342304,https://genius.com/Johnny-Cash-I-Walk-The-Line-lyrics
197,Dont Front,Eminem,2013,219659,https://genius.com/Eminem-Dont-Front-lyrics
198,No Hands,Waka Flocka Flame,2010,536552,https://genius.com/Waka-Flocka-Flame-No-Hands-lyrics
199,Apologize,OneRepublic,2006,272817,https://genius.com/OneRepublic-Apologize-lyrics
200,Put That on My Set,A$AP Mob,2016,215432,https://genius.com/AAP-Mob-Put-That-on-My-Set-lyrics
201,The Hype,twenty one pilots,2018,377097,https://genius.com/twenty-one-pilots-The-Hype-lyrics
202,My Humps,Black Eyed Peas,2005,370621,https://genius.com/Black-Eyed-Peas-My-Humps-lyrics
203,Sausage,"Eggs, Bacon, Grits",2014,1980724,https://genius.com/Eggs-Bacon-Grits-Sausage-lyrics
204,400 Lux,Lorde,2013,375427,https://genius.com/Lorde-400-Lux-lyrics
205,WDYW,Carnage,2015,259498,https://genius.com/Carnage-WDYW-lyrics
206,Coming Home,Diddy,2010,408425,https://genius.com/Diddy-Coming-Home-lyrics
207,The Heart Pt. 2,Kendrick Lamar,2010,481346,https://genius.com/Kendrick-Lamar-The-Heart-Pt-2-lyrics
208,Phantom Regret by Jim,The Weeknd,2022,245093,https://genius.com/The-Weeknd-Phantom-Regret-by-Jim-lyrics
209,Nothing Else Matters,Metallica,1991,1071853,https://genius.com/Metallica-Nothing-Else-Matters-lyrics
210,Party Up Up In Here,DMX,1999,359373,https://genius.com/DMX-Party-Up-Up-In-Here-lyrics
211,Holding On To You,twenty one pilots,2011,680234,https://genius.com/twenty-one-pilots-Holding-On-To-You-lyrics
212,January 28th,J. Cole,2014,1130130,https://genius.com/J-Cole-January-28th-lyrics
213,Better,ZAYN,2020,314141,https://genius.com/ZAYN-Better-lyrics
214,Graceland Too,Phoebe Bridgers,2020,250108,https://genius.com/Phoebe-Bridgers-Graceland-Too-lyrics
215,Girls,Rita Ora,2018,899665,https://genius.com/Rita-Ora-Girls-lyrics
216,Crazy Rap Colt 45  2 Zig-Zags,Afroman,2000,1011195,https://genius.com/Afroman-Crazy-Rap-Colt-45-2-ZigZags-lyrics
217,My Shot,"My Shot Lyrics - Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr. & Original Broadway Cast of ""Hamilton""",2015,3634280,https://genius.com/My-Shot-Lyrics-LinManuel-Miranda-Anthony-Ramos-Daveed-Diggs-Okieriete-Onaodowan-Leslie-Odom-Jr-Original-Broadway-Cast-of-Hamilton-My-Shot-lyrics
218,Zack and Codeine,Post Malone,2018,399234,https://genius.com/Post-Malone-Zack-and-Codeine-lyrics
219,Open Interlude,Bryson Tiller,2015,216046,https://genius.com/Bryson-Tiller-Open-Interlude-lyrics
220,Invincible,Tool,2019,211106,https://genius.com/Tool-Invincible-lyrics
221,Water Fountain,Alec Benjamin,2016,297855,https://genius.com/Alec-Benjamin-Water-Fountain-lyrics
222,Bricks,Carnage,2014,239281,https://genius.com/Carnage-Bricks-lyrics
223,Quit,Cashmere Cat,2017,411108,https://genius.com/Cashmere-Cat-Quit-lyrics
224,Trouble,Cage The Elephant,2015,295988,https://genius.com/Cage-The-Elephant-Trouble-lyrics
225,Bath Salt,A$AP Mob,2012,698289,https://genius.com/AAP-Mob-Bath-Salt-lyrics
226,Jung Kook - Still With You English Translation,Genius English Translations,2020,793169,https://genius.com/Genius-English-Translations-Jung-Kook-Still-With-You-English-Translation-lyrics
227,Hustler Musik,Lil Wayne,2006,195481,https://genius.com/Lil-Wayne-Hustler-Musik-lyrics
228,Hand in My Pocket,Alanis Morissette,1995,323134,https://genius.com/Alanis-Morissette-Hand-in-My-Pocket-lyrics
229,Love Is A Game,Adele,2021,204335,https://genius.com/Adele-Love-Is-A-Game-lyrics
230,Ill Be There,The Jackson 5,1970,199437,https://genius.com/The-Jackson-5-Ill-Be-There-lyrics
231,Rocky Raccoon,The Beatles,1968,261456,https://genius.com/The-Beatles-Rocky-Raccoon-lyrics
232,Molly,Tyga,2013,731108,https://genius.com/Tyga-Molly-lyrics
233,​iTs YoU,ZAYN,2016,273698,https://genius.com/ZAYN-​iTs-YoU-lyrics
234,Sweet Disposition,The Temper Trap,2008,198735,https://genius.com/The-Temper-Trap-Sweet-Disposition-lyrics
235,Spell It Out,The Lonely Island,2013,349730,https://genius.com/The-Lonely-Island-Spell-It-Out-lyrics
236,Old Yellow Bricks,Arctic Monkeys,2007,192472,https://genius.com/Arctic-Monkeys-Old-Yellow-Bricks-lyrics
237,Trust Issues Remix,The Weeknd,2011,468752,https://genius.com/The-Weeknd-Trust-Issues-Remix-lyrics
238,Kings Dead Freestyle,Joey Bada$$ & XXXTENTACION,2018,792175,https://genius.com/Joey-Bada-XXXTENTACION-Kings-Dead-Freestyle-lyrics
239,Man I Feel like a Woman,Shania Twain,1999,287636,https://genius.com/Shania-Twain-Man-I-Feel-like-a-Woman-lyrics
240,Eggs Bacon Grits SAUSAGE Class Remix,Classified,2015,505507,https://genius.com/Classified-Eggs-Bacon-Grits-SAUSAGE-Class-Remix-lyrics
241,Good Guy,Frank Ocean,2016,515641,https://genius.com/Frank-Ocean-Good-Guy-lyrics
242,Wilson Expensive Mistakes,Fall Out Boy,2018,211843,https://genius.com/Fall-Out-Boy-Wilson-Expensive-Mistakes-lyrics
243,As the World Turns,Eminem,1999,284906,https://genius.com/Eminem-As-the-World-Turns-lyrics
244,Beast Southpaw Remix,Rob Bailey & The Hustle Standard,2015,249894,https://genius.com/Rob-Bailey-The-Hustle-Standard-Beast-Southpaw-Remix-lyrics
245,Guala,G-Eazy & Carnage,2017,189454,https://genius.com/GEazy-Carnage-Guala-lyrics
246,No Problem,Tokyo Jetz,2018,366064,https://genius.com/Tokyo-Jetz-No-Problem-lyrics
